"12924","BP"
"12864","BP"
"79511","BP"
"79510","BP"
"68548","BP"
"82475","BP"
"82474","BP"
"79244","BP"
"79245","BP"
"72228","BP"
"72227","BP"
"78066","BP"
"72226","BP"
"79606","BP"
"60939","BP"
"60940","BP"
"28440","BP"
"12435","BP"
"12434","BP"
"11854","BP"
"11853","BP"
"70137","BP"
"81062","BP"
"81061","BP"
"76363","BP"
"80201","BP"
"79828","BP"
"79827","BP"
"79826","BP"
"79825","BP"
"79824","BP"
"79823","BP"
"79532","BP"
"78477","BP"
"74047","BP"
"78032","BP"
"78896","BP"
"78661","BP"
"80202","BP"
"78079","BP"
"78082","BP"
"78083","BP"
"78081","BP"
"78625","BP"
"50497","BP"
"51595","BP"
"51594","BP"
"53896","BP"
"53893","BP"
"51746","BP"
"51745","BP"
"10767","BP"
"10762","BP"
"10664","BP"
"10526","BP"
"10488","BP"
"10314","BP"
"10136","BP"
"10034","BP"
"9972","BP"
"9941","BP"
"9940","BP"
"9824","BP"
"37001","BP"
"77817","BP"
"73507","BP"
"73509","BP"
"73510","BP"
"77942","BP"
"47424","BP"
"77754","BP"
"77558","BP"
"77247","BP"
"77246","BP"
"76407","BP"
"76406","BP"
"76405","BP"
"76404","BP"
"76403","BP"
"76402","BP"
"76481","BP"
"73695","BP"
"73694","BP"
"73693","BP"
"73691","BP"
"73690","BP"
"73692","BP"
"76423","BP"
"75294","BP"
"76362","BP"
"76301","BP"
"31285","BP"
"31286","BP"
"31288","BP"
"11781","BP"
"11780","BP"
"11769","BP"
"11768","BP"
"11767","BP"
"11466","BP"
"11465","BP"
"11143","BP"
"11142","BP"
"1670","BPC"
"82129","CSD"
"82131","CSD"
"82130","CSD"
"66710","CSD"
"15704","CSD"
"50170","CSD"
"50169","CSD"
"15889","CSD"
"15782","CSD"
"15486","CSD"
"16736","CSD"
"66031","CSD"
"66711","CSD"
"69478","CSD"
"66032","CSD"
"5312","CSD"
"5311","CSD"
"1978","CSD"
"3756","CSD"
"63126","CSD"
"63127","CSD"
"1658","CSD"
"1657","CSD"
"15757","CSD"
"15756","CSD"
"774","CSD"
"773","CSD"
"772","CSD"
"74413","CSD"
"66033","CSD"
"66034","CSD"
"69480","CSD"
"69479","CSD"
"10887","CSD"
"10886","CSD"
"10885","CSD"
"10884","CSD"
"10883","CSD"
"76686","CSD"
"76688","CSD"
"76687","CSD"
"74844","MFR"
"74843","MFR"
"68278","MFR"
"83974","MFR"
"85075","MFR"
"87688","MFR"
"76921","MFR"
"76920","MFR"
"76919","MFR"
"76918","MFR"
"76916","MFR"
"76917","MFR"
"67651","MFR"
"73982","MFR"
"11443","MFR"
"78470","MFR"
"78469","MFR"
"78468","MFR"
"88702","MFR"
"88700","MFR"
"84686","MFR"
"84685","MFR"
"74666","MFR"
"83681","MFR"
"74665","MFR"
"79690","MFR"
"79689","MFR"
"79687","MFR"
"79688","MFR"
"89068","MFR"
"88657","MFR"
"88656","MFR"
"89065","MFR"
"89053","MFR"
"80774","MFR"
"88573","MFR"
"78575","MFR"
"85836","MFR"
"85835","MFR"
"84384","MFR"
"79794","MFR"
"88618","MFR"
"49818","MFR"
"88003","MFR"
"88002","MFR"
"88290","MFR"
"88837","MFR"
"88904","MFR"
"88903","MFR"
"88902","MFR"
"88901","MFR"
"88404","MFR"
"85553","MFR"
"88218","MFR"
"87454","MFR"
"88029","MFR"
"60601","MFR"
"87969","MFR"
"88822","MFR"
"88806","MFR"
"87970","MFR"
"87968","MFR"
"87971","MFR"
"88626","MFR"
"88781","MFR"
"88780","MFR"
"88778","MFR"
